,lat,lon,fire_x,fire_y,I4,I5,D/N
192,52.441414,-116.267494,666,3558,309.0799,281.62512,False
193,52.441414,-116.267494,666,3558,309.0799,281.62512,False
194,52.441414,-116.267494,666,3558,309.0799,281.62512,False
195,52.441414,-116.267494,666,3558,309.0799,281.62512,False
196,49.08321,-103.969826,764,5652,292.44388,283.67432,False
197,49.08321,-103.969826,764,5652,292.44388,283.67432,False
198,49.08321,-103.969826,764,5652,292.44388,283.67432,False
199,49.08321,-103.969826,764,5652,292.44388,283.67432,False
200,49.08321,-103.969826,764,5652,292.44388,283.67432,False
201,49.08413,-103.97067,771,5653,292.8786,283.80542,False
202,49.08413,-103.97067,771,5653,292.8786,283.80542,False
203,49.08413,-103.97067,771,5653,292.8786,283.80542,False
204,49.08413,-103.97067,771,5653,292.8786,283.80542,False
205,49.08413,-103.97067,771,5653,292.8786,283.80542,False
206,52.999733,-122.4847,773,2510,291.21616,285.6195,False
207,52.999733,-122.4847,773,2510,291.21616,285.6195,False
208,52.999733,-122.4847,773,2510,291.21616,285.6195,False
209,52.999733,-122.4847,773,2510,291.21616,285.6195,False
210,52.999733,-122.4847,773,2510,291.21616,285.6195,False
211,48.342815,-102.80471,861,5898,300.39908,286.78674,False
212,48.342815,-102.80471,861,5898,300.39908,286.78674,False
213,48.342815,-102.80471,861,5898,300.39908,286.78674,False
214,48.342815,-102.80471,861,5898,300.39908,286.78674,False
215,48.342815,-102.80471,861,5898,300.39908,286.78674,False
216,48.340767,-102.79859,861,5899,293.0389,286.87952,False
217,48.340767,-102.79859,861,5899,293.0389,286.87952,False
218,48.340767,-102.79859,861,5899,293.0389,286.87952,False
219,48.340767,-102.79859,861,5899,293.0389,286.87952,False
220,48.340767,-102.79859,861,5899,293.0389,286.87952,False
221,48.335835,-102.809265,862,5898,300.79773,287.1273,False
222,48.335835,-102.809265,862,5898,300.79773,287.1273,False
223,48.335835,-102.809265,862,5898,300.79773,287.1273,False
224,48.335835,-102.809265,862,5898,300.79773,287.1273,False
225,48.335835,-102.809265,862,5898,300.79773,287.1273,False
226,48.33378,-102.803154,862,5899,293.36917,287.09448,False
227,48.33378,-102.803154,862,5899,293.36917,287.09448,False
228,48.33378,-102.803154,862,5899,293.36917,287.09448,False
229,48.33378,-102.803154,862,5899,293.36917,287.09448,False
230,48.33378,-102.803154,862,5899,293.36917,287.09448,False
231,48.33959,-102.80039,870,5900,296.01715,287.10272,False
232,48.33959,-102.80039,870,5900,296.01715,287.10272,False
233,48.33959,-102.80039,870,5900,296.01715,287.10272,False
234,48.33959,-102.80039,870,5900,296.01715,287.10272,False
235,48.33959,-102.80039,870,5900,296.01715,287.10272,False
236,48.335495,-102.803474,871,5900,308.5889,287.36957,False
237,48.335495,-102.803474,871,5900,308.5889,287.36957,False
238,48.335495,-102.803474,871,5900,308.5889,287.36957,False
239,48.335495,-102.803474,871,5900,308.5889,287.36957,False
